id_mhs,list matkul,rekomendasi matkul
13510047,"IF4031-2013, IF4072-2013, IF4020-2013, IF4033-2013, IF4041-2013","AS2005-2013, IF4071-2013, TI3004-2013, IF4050-2013, IF2112-2013, KU2061-2013, DK3014-2013"
13510048,"IF4031-2013, IF4070-2013, IF4033-2013","IF4050-2013, IF2112-2013, KU2061-2013, IF4020-2013, KU4079-2013, IF4071-2013, IF4042-2013"
13510049,"IF4072-2013, IF5020-2013, IF5151-2013, IF4040-2013, IF5152-2013, IF5153-2013","IF4041-2013, IF4061-2013, BI2001-2013, KU2061-2013, IF4031-2013, IF4043-2013, KU4078-2013"
13510050,"IF4070-2013, IF4072-2013, KU4078-2013, TL4103-2013, IF4021-2013, IF4040-2013","DK3014-2013, IF2112-2013, IF4042-2013, DK3016-2013, IF4043-2013, IF4061-2013, IF4071-2013"
13510051,"IF4070-2013, IF5020-2013, IF5030-2013, IF4041-2013, IF5147-2013, IF5282-2013","AS2005-2013, IF4072-2013, TI3004-2013, IF4071-2013, DK3014-2013, IF4043-2013, KU4078-2013"
13510052,"IF4031-2013, IF4031-2013, IF4072-2013, IF4021-2013, IF4073-2013, IF4073-2013","IF4071-2013, DK4206-2013, KU2061-2013, IF4033-2013, AS2005-2013, TL4103-2013, DK3014-2013"
13510053,"IF4071-2013, IF4072-2013","AS2005-2013, DK3014-2013, KU4072-2013, KU2061-2013, DK4206-2013, KU4079-2013, KU4273-2013"
13510054,"IF4071-2013, IF4072-2013, IF4061-2013","AS2005-2013, KU2062-2013, KU4079-2013, DK3014-2013, KU2061-2013, DK4206-2013, IF4070-2013"
13510055,IF4070-2013,"IF4042-2013, IF2112-2013, IF4021-2013, IF4041-2013, DK3016-2013, IF4071-2013, KU4012-2013, IF4072-2013, DK3014-2013, KU2061-2013, IF4061-2013, KU4078-2013, AS2005-2013, IF4073-2013, IF4043-2013, KU4079-2013, TL2105-2013, IF4020-2013, TL4002-2013, DK4206-2013, IF4033-2013, TL4103-2013, IF4031-2013, KU2062-2013, TI3004-2013, IF4050-2013, KU4072-2013, IF4040-2013, BI2001-2013"
13510056,"IF4072-2013, KU4012-2013, IF4033-2013, MB4021-2013","DK3014-2013, BI2001-2013, AS2005-2013, IF4071-2013, IF4031-2013, KU2061-2013, IF2112-2013"
13510057,"KU4012-2013, TL4103-2013, IF4020-2013, IF4021-2013, IF4033-2013, IF4041-2013, KU4273-2013, KU4074-2013","AS2005-2013, IF4043-2013, IF4061-2013, DK3014-2013, IF4071-2013, IF4072-2013, IF4073-2013, KU2061-2013, IF4031-2013, KU4078-2013, BI2001-2013, IF4042-2013, IF2112-2013, DK3016-2013, IF4070-2013, IF4050-2013, TI3004-2013, IF4040-2013, KU4079-2013, KU2062-2013, TL4002-2013, KU4072-2013, TL2105-2013, KU4182-2013, KU4071-2013, KU4095-2013, KU2063-2013, DK4206-2013, KU4183-2013"
